id_departamento,id_distrito,descripcion
201.0.0,201.0,0-ASUNCION
201.1.9,201.1,9-YBY YA’U
201.2.0,201.2,0-SAN PEDRO DEL YCUAMANDYJU
201.3.0,201.3,0-CAACUPE
201.4.1,201.4,1-BORJA
201.6.0,201.6,0-CAAZAPA
201.7.0,201.7,0-ENCARNACION 
201.8.0,201.8,0-SAN JUAN BAUTISTA
201.9.15,201.9,15-PIRAYU
201.10.0,201.10,0-CIUDAD DEL ESTE
201.11.1,201.11,1-CAPIATA
201.11.3,201.11,3-FERNANDO DE LA MORA
201.12.0,201.12,0-PILAR 
201.13.0,201.13,0-PEDRO J. CABALLERO
201.14.3,201.14,3-FRANCISCO CABALLERO ALVAREZ
201.15.0,201.15,0-VILLA HAYES
204.0.0,204.0,0-ASUNCION
204.1.0,204.1,0-CONCEPCION
204.2.21,204.2,21-SAN ESTANISLAO
204.3.0,204.3,0-CAACUPE
204.4.0,204.4,0-VILLARRICA
204.5.0,204.5,0-CORONEL OVIEDO
204.6.0,204.6,0-CAAZAPA
204.7.0,204.7,0-ENCARNACION 
204.8.0,204.8,0-SAN JUAN BAUTISTA
204.9.0,204.9,0-PARAGUARI
204.10.0,204.10,0-CIUDAD DEL ESTE
204.11.3,204.11,3-FERNANDO DE LA MORA
204.12.0,204.12,0-PILAR 
204.13.0,204.13,0-PEDRO J. CABALLERO
204.14.0,204.14,0-SALTO DEL GUAIRA
204.15.0,204.15,0-VILLA HAYES
205.0.0,205.0,0-ASUNCION
205.3.0,205.3,0-CAACUPE
205.3.27,205.3,27-PIRIBEBUY
205.6.15,205.6,15-TAVAI
205.7.0,205.7,0-ENCARNACION 
205.9.1,205.9,1-ACAHAY
205.10.0,205.10,0-CIUDAD DEL ESTE
205.11.1,205.11,1-CAPIATA
205.11.13,205.11,13-LAMBARE
205.11.17,205.11,17-LUQUE
205.15.0,205.15,0-VILLA HAYES
205.15.1,205.15,1-BENJAMIN ACEVAL
206.4.0,206.4,0-VILLARRICA
206.11.35,206.11,35-YPANE
207.0.0,207.0,0-ASUNCION
207.1.11,207.1,11-ARROYITO
207.2.9,207.2,9-GRAL. ELIZARDO AQUINO
207.3.35,207.3,35-TOBATI
207.4.30,207.4,30-TEBICUARY
207.5.3,207.5,3-CAAGUAZU
207.6.17,207.6,17-YUTY
207.7.0,207.7,0-ENCARNACION 
207.8.3,207.8,3-SAN IGNACIO
207.9.5,207.9,5-CARAPEGUA
207.10.25,207.10,25-PRESIDENTE FRANCO
207.11.27,207.11,27-SAN LORENZO
207.12.0,207.12,0-PILAR 
207.13.0,207.13,0-PEDRO J. CABALLERO
207.14.3,207.14,3-FRANCISCO CABALLERO ALVAREZ
207.15.5,207.15,5-NANAWA 
207.16.0,207.16,0-FUERTE OLIMPO
207.17.0,207.17,0-FILADELFIA 
208.0.0,208.0,0-ASUNCION
208.2.0,208.2,0-SAN PEDRO DEL YCUAMANDYJU
208.5.0,208.5,0-CORONEL OVIEDO
208.10.0,208.10,0-CIUDAD DEL ESTE
208.11.9,208.11,9-ITAUGUA
210.0.0,210.0,0-ASUNCION
210.1.0,210.1,0-CONCEPCION
210.2.13,210.2,13-GUAJAYVI
210.3.0,210.3,0-CAACUPE
210.4.0,210.4,0-VILLARRICA
210.5.3,210.5,3-CAAGUAZU
210.6.0,210.6,0-CAAZAPA
210.9.1,210.9,1-ACAHAY
210.11.1,210.11,1-CAPIATA
210.14.13,210.14,13-SAN ISIDRO CURUGUATY
210.15.0,210.15,0-VILLA HAYES
211.0.0,211.0,0-ASUNCION
211.1.0,211.1,0-CONCEPCION
211.2.13,211.2,13-GUAJAYVI
211.2.21,211.2,21-SAN ESTANISLAO
211.3.0,211.3,0-CAACUPE
211.4.0,211.4,0-VILLARRICA
211.5.0,211.5,0-CORONEL OVIEDO
211.5.3,211.5,3-CAAGUAZU
211.6.13,211.6,13-SAN JUAN NEPOMUCENO
211.7.0,211.7,0-ENCARNACION 
211.7.49,211.7,49-SAN PEDRO DEL PARANA
211.8.0,211.8,0-SAN JUAN BAUTISTA
211.9.5,211.9,5-CARAPEGUA
211.10.0,211.10,0-CIUDAD DEL ESTE
211.11.3,211.11,3-FERNANDO DE LA MORA
211.12.0,211.12,0-PILAR 
211.13.0,211.13,0-PEDRO J. CABALLERO
211.14.0,211.14,0-SALTO DEL GUAIRA
211.15.0,211.15,0-VILLA HAYES
211.16.0,211.16,0-FUERTE OLIMPO
211.17.1,211.17,1-LOMA PLATA
211.17.3,211.17,3-MCAL.ESTIGARRIBIA
212.0.0,212.0,0-ASUNCION
212.1.0,212.1,0-CONCEPCION
212.1.11,212.1,11-ARROYITO
212.3.0,212.3,0-CAACUPE
212.4.0,212.4,0-VILLARRICA
212.5.25,212.5,25-REPATRIACION
212.6.0,212.6,0-CAAZAPA
212.7.0,212.7,0-ENCARNACION 
212.8.3,212.8,3-SAN IGNACIO
212.9.11,212.9,11-LA COLMENA
212.10.0,212.10,0-CIUDAD DEL ESTE
212.11.17,212.11,17-LUQUE
212.12.0,212.12,0-PILAR 
212.13.0,212.13,0-PEDRO J. CABALLERO
212.14.13,212.14,13-SAN ISIDRO CURUGUATY
