id_distrito,id_pais,descripcion
201.0,201,0-CAPITAL
201.1,201,1-CONCEPCION
201.2,201,2-SAN PEDRO
201.3,201,3-CORDILLERA
201.4,201,4-GUAIRA
201.6,201,6-CAAZAPA
201.7,201,7-ITAPUA
201.8,201,8-MISIONES
201.9,201,9-PARAGUARI
201.10,201,10-ALTO PARANA
201.11,201,11-CENTRAL
201.12,201,12-ÑEEMBUCU 
201.13,201,13-AMAMBAY
201.14,201,14-CANINDEYU
201.15,201,15-PRESIDENTE HAYES
204.0,204,0-CAPITAL
204.1,204,1-CONCEPCION
204.2,204,2-SAN PEDRO
204.3,204,3-CORDILLERA
204.4,204,4-GUAIRA
204.5,204,5-CAAGUAZU
204.6,204,6-CAAZAPA
204.7,204,7-ITAPUA
204.8,204,8-MISIONES
204.9,204,9-PARAGUARI
204.10,204,10-ALTO PARANA
204.11,204,11-CENTRAL
204.12,204,12-ÑEEMBUCU 
204.13,204,13-AMAMBAY
204.14,204,14-CANINDEYU
204.15,204,15-PRESIDENTE HAYES
205.0,205,0-CAPITAL
205.3,205,3-CORDILLERA
205.6,205,6-CAAZAPA
205.7,205,7-ITAPUA
205.9,205,9-PARAGUARI
205.10,205,10-ALTO PARANA
205.11,205,11-CENTRAL
205.15,205,15-PRESIDENTE HAYES
206.4,206,4-GUAIRA
206.11,206,11-CENTRAL
207.0,207,0-CAPITAL
207.1,207,1-CONCEPCION
207.2,207,2-SAN PEDRO
207.3,207,3-CORDILLERA
207.4,207,4-GUAIRA
207.5,207,5-CAAGUAZU
207.6,207,6-CAAZAPA
207.7,207,7-ITAPUA
207.8,207,8-MISIONES
207.9,207,9-PARAGUARI
207.10,207,10-ALTO PARANA
207.11,207,11-CENTRAL
207.12,207,12-ÑEEMBUCU 
207.13,207,13-AMAMBAY
207.14,207,14-CANINDEYU
207.15,207,15-PRESIDENTE HAYES
207.16,207,16-ALTO PARAGUAY 
207.17,207,17-BOQUERON 
208.0,208,0-CAPITAL
208.2,208,2-SAN PEDRO
208.5,208,5-CAAGUAZU
208.10,208,10-ALTO PARANA
208.11,208,11-CENTRAL
210.0,210,0-CAPITAL
210.1,210,1-CONCEPCION
210.2,210,2-SAN PEDRO
210.3,210,3-CORDILLERA
210.4,210,4-GUAIRA
210.5,210,5-CAAGUAZU
210.6,210,6-CAAZAPA
210.9,210,9-PARAGUARI
210.11,210,11-CENTRAL
210.14,210,14-CANINDEYU
210.15,210,15-PRESIDENTE HAYES
211.0,211,0-CAPITAL
211.1,211,1-CONCEPCION
211.2,211,2-SAN PEDRO
211.3,211,3-CORDILLERA
211.4,211,4-GUAIRA
211.5,211,5-CAAGUAZU
211.6,211,6-CAAZAPA
211.7,211,7-ITAPUA
211.8,211,8-MISIONES
211.9,211,9-PARAGUARI
211.10,211,10-ALTO PARANA
211.11,211,11-CENTRAL
211.12,211,12-ÑEEMBUCU 
211.13,211,13-AMAMBAY
211.14,211,14-CANINDEYU
211.15,211,15-PRESIDENTE HAYES
211.16,211,16-ALTO PARAGUAY 
211.17,211,17-BOQUERON 
212.0,212,0-CAPITAL
212.1,212,1-CONCEPCION
212.3,212,3-CORDILLERA
212.4,212,4-GUAIRA
212.5,212,5-CAAGUAZU
212.6,212,6-CAAZAPA
212.7,212,7-ITAPUA
212.8,212,8-MISIONES
212.9,212,9-PARAGUARI
212.10,212,10-ALTO PARANA
212.11,212,11-CENTRAL
212.12,212,12-ÑEEMBUCU 
212.13,212,13-AMAMBAY
212.14,212,14-CANINDEYU
212.16,212,16-ALTO PARAGUAY 
212.17,212,17-BOQUERON 
213.0,213,0-CAPITAL
213.1,213,1-CONCEPCION
213.2,213,2-SAN PEDRO
213.3,213,3-CORDILLERA
213.4,213,4-GUAIRA
213.5,213,5-CAAGUAZU
213.6,213,6-CAAZAPA
213.7,213,7-ITAPUA
213.9,213,9-PARAGUARI
213.10,213,10-ALTO PARANA
213.11,213,11-CENTRAL
213.12,213,12-ÑEEMBUCU 
213.13,213,13-AMAMBAY
213.14,213,14-CANINDEYU
213.15,213,15-PRESIDENTE HAYES
213.16,213,16-ALTO PARAGUAY 
213.17,213,17-BOQUERON 
215.0,215,0-CAPITAL
215.7,215,7-ITAPUA
215.10,215,10-ALTO PARANA
215.11,215,11-CENTRAL
215.14,215,14-CANINDEYU
215.17,215,17-BOQUERON 
216.0,216,0-CAPITAL
216.2,216,2-SAN PEDRO
216.4,216,4-GUAIRA
216.5,216,5-CAAGUAZU
216.6,216,6-CAAZAPA
216.7,216,7-ITAPUA
216.9,216,9-PARAGUARI
216.10,216,10-ALTO PARANA
216.11,216,11-CENTRAL
216.12,216,12-ÑEEMBUCU 
216.13,216,13-AMAMBAY
216.14,216,14-CANINDEYU
216.15,216,15-PRESIDENTE HAYES
217.0,217,0-CAPITAL
217.2,217,2-SAN PEDRO
217.4,217,4-GUAIRA
217.5,217,5-CAAGUAZU
217.6,217,6-CAAZAPA
217.7,217,7-ITAPUA
217.10,217,10-ALTO PARANA
217.11,217,11-CENTRAL
217.13,217,13-AMAMBAY
217.15,217,15-PRESIDENTE HAYES
217.16,217,16-ALTO PARAGUAY 
217.17,217,17-BOQUERON 
218.0,218,0-CAPITAL
218.1,218,1-CONCEPCION
218.2,218,2-SAN PEDRO
218.4,218,4-GUAIRA
218.5,218,5-CAAGUAZU
218.6,218,6-CAAZAPA
218.7,218,7-ITAPUA
218.8,218,8-MISIONES
218.9,218,9-PARAGUARI
218.10,218,10-ALTO PARANA
218.11,218,11-CENTRAL
218.12,218,12-ÑEEMBUCU 
218.14,218,14-CANINDEYU
218.15,218,15-PRESIDENTE HAYES
218.17,218,17-BOQUERON 
219.0,219,0-CAPITAL
219.1,219,1-CONCEPCION
219.2,219,2-SAN PEDRO
219.3,219,3-CORDILLERA
219.5,219,5-CAAGUAZU
219.7,219,7-ITAPUA
219.8,219,8-MISIONES
219.9,219,9-PARAGUARI
219.10,219,10-ALTO PARANA
219.15,219,15-PRESIDENTE HAYES
220.0,220,0-CAPITAL
220.1,220,1-CONCEPCION
220.2,220,2-SAN PEDRO
220.3,220,3-CORDILLERA
220.4,220,4-GUAIRA
220.5,220,5-CAAGUAZU
220.6,220,6-CAAZAPA
220.7,220,7-ITAPUA
220.8,220,8-MISIONES
220.9,220,9-PARAGUARI
220.10,220,10-ALTO PARANA
220.11,220,11-CENTRAL
220.12,220,12-ÑEEMBUCU 
220.13,220,13-AMAMBAY
220.14,220,14-CANINDEYU
220.15,220,15-PRESIDENTE HAYES
220.16,220,16-ALTO PARAGUAY 
220.17,220,17-BOQUERON 
221.0,221,0-CAPITAL
221.1,221,1-CONCEPCION
221.2,221,2-SAN PEDRO
221.4,221,4-GUAIRA
221.5,221,5-CAAGUAZU
221.6,221,6-CAAZAPA
221.7,221,7-ITAPUA
221.8,221,8-MISIONES
221.9,221,9-PARAGUARI
221.11,221,11-CENTRAL
221.14,221,14-CANINDEYU
222.7,222,7-ITAPUA
222.11,222,11-CENTRAL
222.15,222,15-PRESIDENTE HAYES
223.0,223,0-CAPITAL
223.1,223,1-CONCEPCION
223.2,223,2-SAN PEDRO
223.7,223,7-ITAPUA
223.11,223,11-CENTRAL
224.0,224,0-CAPITAL
224.1,224,1-CONCEPCION
224.2,224,2-SAN PEDRO
224.3,224,3-CORDILLERA
224.4,224,4-GUAIRA
224.5,224,5-CAAGUAZU
224.6,224,6-CAAZAPA
224.7,224,7-ITAPUA
224.8,224,8-MISIONES
224.9,224,9-PARAGUARI
224.11,224,11-CENTRAL
224.12,224,12-ÑEEMBUCU 
224.13,224,13-AMAMBAY
224.14,224,14-CANINDEYU
225.0,225,0-CAPITAL
225.5,225,5-CAAGUAZU
225.7,225,7-ITAPUA
