id_establecimiento,id_localidad,descripcion,nro_escuela,latitud,longitud,domicilio,telefono,nombre_directivo,ciudadanos_habilitados
201.0.0.0.1,201.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
201.1.9.0.1,201.1.9.0,1-ESC. Nº 540 EPOPEYA NACIONAL,1,,,,,,0
201.2.0.0.1,201.2.0.0,1-ESCUELA N° 31 DON BRAULIO ZELADA ,1,,,,,,0
201.3.0.0.1,201.3.0.0,1-SALON MUNICIPAL CAACUPE,1,,,,,,0
201.4.1.0.1,201.4.1.0,1-REGISTRO ELECTORAL DE BORJA,1,,,,,,0
201.6.0.0.1,201.6.0.0,1-TINGLADO - EX. MUNICIPALIDAD DE CAAZAPA,1,,,,,,0
201.7.0.0.1,201.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
201.8.0.0.1,201.8.0.0,1-COL. PEDRO P. PEÑA NRO. 237,1,,,,,,0
201.9.15.0.1,201.9.15.0,1-REGISTRO ELECTORAL DE PIRAYU,1,,,,,,0
201.10.0.0.1,201.10.0.0,1-COL. ATANACIO RIERA AREA 1,1,,,,,,0
201.11.1.0.1,201.11.1.0,1-COLEGIO POLITECNICO COOPERATIVA CAPIATA ,1,,,,,,0
201.11.3.0.1,201.11.3.0,1-COLEGIO MEDALLA MILAGROSA ,1,,,,,,0
201.12.0.0.1,201.12.0.0,1-ESCUELA JUAN PABLO II,1,,,,,,0
201.13.0.0.1,201.13.0.0,1-ESC. BASICA Nº 458 MARISCAL FRANCISCO SOLANO LOPEZ,1,,,,,,0
201.14.3.0.1,201.14.3.0,1-ESCUELA BASICA JUAN PABLO II,1,,,,,,0
201.15.0.0.1,201.15.0.0,1-ESC. DR. RAUL PEÑA,1,,,,,,0
204.0.0.0.1,204.0.0.0,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,,,,,,0
204.1.0.0.1,204.1.0.0,1-ESC. PRESIDENTE FRANCO  (EX-ESC. NORMAL),1,,,,,,0
204.2.21.0.1,204.2.21.0,1-COLEGIO NACIONAL SEBASTIAN YEGROS ,1,,,,,,0
204.3.0.0.1,204.3.0.0,1-SALON MUNICIPAL CAACUPE,1,,,,,,0
204.4.0.0.1,204.4.0.0,1-MUNICIPALIDAD DE VILLARRICA ,1,,,,,,0
204.5.0.0.1,204.5.0.0,1-ESC. ALICIO PERALTA,1,,,,,,0
204.6.0.0.1,204.6.0.0,1-TINGLADO - EX. MUNICIPALIDAD DE CAAZAPA,1,,,,,,0
204.7.0.0.1,204.7.0.0,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,,,,,,0
204.8.0.0.1,204.8.0.0,1-REGISTRO ELECTORAL DE SAN JUAN BAUTISTA MISIONES,1,,,,,,0
204.9.0.0.1,204.9.0.0,1-TINGLADO MUNICIPAL,1,,,,,,0
