id_lista,id_partido,descripcion,texto_asistida,descripcion_corta,nro_lista,color,color_tipografia,color_api_resultados,nro_orden,data
3,,SOMBRERO PIRI,19 - SOMBRERO PIRI,SP19,19,,#000000,,3,
1,,VAMOS JUNTOS,3 - VAMOS JUNTOS,VJ,3,,#000000,,1,
4,,RENOVACION AZUL,50 - RENOVACION AZUL,RA,50,,#000000,,4,
2,,FRENTE DE INTEGRACION LIBERAL,9 - FRENTE DE INTEGRACION LIBERAL,FIL,9,,#000000,,2,
7,,DEL NUEVO PAIS,22 - DEL NUEVO PAIS,NP,22,,#000000,,7,
5,,FIL POR LA PATRIA MAS ENCUENTRO 9E,9E - FIL POR LA PATRIA MAS ENCUENTRO 9E,FILE9E,9E,,#000000,,5,
6,,FIL POR LA PATRIA MAS ENCUENTRO 9JA,9JA - FIL POR LA PATRIA MAS ENCUENTRO 9JA,FILE,9JA,,#000000,,6,
11,,DEL NUEVO PAIS,22 - DEL NUEVO PAIS,NP,22,,#000000,,11,
8,,SOLUCION,5 - SOLUCION,SOLUCION,5,,#000000,,8,
9,,FIL POR LA PATRIA MAS ENCUENTRO 9E,9E - FIL POR LA PATRIA MAS ENCUENTRO 9E,FILE9E,9E,,#000000,,9,
10,,FIL POR LA PATRIA MAS ENCUENTRO 9JA,9JA - FIL POR LA PATRIA MAS ENCUENTRO 9JA,FILE,9JA,,#000000,,10,
14,,DEL NUEVO PAIS,22 - DEL NUEVO PAIS,NP,22,,#000000,,14,
12,,FIL POR LA PATRIA MAS ENCUENTRO 9E,9E - FIL POR LA PATRIA MAS ENCUENTRO 9E,FILE9E,9E,,#000000,,12,
13,,FIL POR LA PATRIA MAS ENCUENTRO 9JA,9JA - FIL POR LA PATRIA MAS ENCUENTRO 9JA,FILE,9JA,,#000000,,13,
17,,DEL NUEVO PAIS,22 - DEL NUEVO PAIS,NP,22,,#000000,,17,
15,,FIL POR LA PATRIA MAS ENCUENTRO 9P,9P - FIL POR LA PATRIA MAS ENCUENTRO 9P,FILE9P,9P,,#000000,,15,
16,,FIL POR LA PATRIA MAS ENCUENTRO 9V,9V - FIL POR LA PATRIA MAS ENCUENTRO 9V,FILE9V,9V,,#000000,,16,
20,,DEL NUEVO PAIS,22 - DEL NUEVO PAIS,NP,22,,#000000,,20,
18,,FIL POR LA PATRIA MAS ENCUENTRO 9P,9P - FIL POR LA PATRIA MAS ENCUENTRO 9P,FILE9P,9P,,#000000,,18,
19,,FIL POR LA PATRIA MAS ENCUENTRO 9V,9V - FIL POR LA PATRIA MAS ENCUENTRO 9V,FILE9V,9V,,#000000,,19,
23,,DEL NUEVO PAIS,22 - DEL NUEVO PAIS,NP,22,,#000000,,23,
21,,FIL POR LA PATRIA MAS ENCUENTRO 9P,9P - FIL POR LA PATRIA MAS ENCUENTRO 9P,FILE9P,9P,,#000000,,21,
22,,FIL POR LA PATRIA MAS ENCUENTRO 9V,9V - FIL POR LA PATRIA MAS ENCUENTRO 9V,FILE9V,9V,,#000000,,22,
25,,DEL NUEVO PAIS,22 - DEL NUEVO PAIS,NP,22,,#000000,,25,
24,,FIL POR LA PATRIA MAS ENCUENTRO,9 - FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,,#000000,,24,
28,,DEL NUEVO PAIS,22 - DEL NUEVO PAIS,NP,22,,#000000,,28,
26,,SOLUCION,5 - SOLUCION,SOLUCION,5,,#000000,,26,
27,,FIL POR LA PATRIA MAS ENCUENTRO,9 - FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,,#000000,,27,
30,,DEL NUEVO PAIS,22 - DEL NUEVO PAIS,NP,22,,#000000,,30,
29,,FIL POR LA PATRIA MAS ENCUENTRO,9 - FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,,#000000,,29,
33,,MOVIMIENTO DEL NUEVO PAIS,22 - MOVIMIENTO DEL NUEVO PAIS,NP,22,,#000000,,33,
31,,FRENTE DE INTEGRACION LIBERAL,9 - FRENTE DE INTEGRACION LIBERAL,FIL,9,,#000000,,31,
32,,FIL POR LA PATRIA 9 A,9A - FIL POR LA PATRIA 9 A,FIL9A,9A,,#000000,,32,
36,,MOVIMIENTO DEL NUEVO PAIS,22 - MOVIMIENTO DEL NUEVO PAIS,NP,22,,#000000,,36,
34,,FRENTE DE INTEGRACION LIBERAL,9 - FRENTE DE INTEGRACION LIBERAL,FIL,9,,#000000,,34,
35,,FIL POR LA PATRIA 9 A,9A - FIL POR LA PATRIA 9 A,FIL9A,9A,,#000000,,35,
37,,CAMBIO GUAIRA,8 - CAMBIO GUAIRA,CG,8,,#000000,,37,
38,,FIL POR LA PATRIA MAS ENCUENTRO,9 - FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,,#000000,,38,
