id_localidad,id_departamento,descripcion
201.0.0.0,201.0.0,0-ASUNCION
201.1.9.0,201.1.9,0-YBY YA’U
201.2.0.0,201.2.0,0-SAN PEDRO DEL YCUAMANDYJU
201.3.0.0,201.3.0,0-CAACUPE
201.4.1.0,201.4.1,0-BORJA
201.6.0.0,201.6.0,0-CAAZAPA
201.7.0.0,201.7.0,0-ENCARNACION 
201.8.0.0,201.8.0,0-SAN JUAN BAUTISTA
201.9.15.0,201.9.15,0-PIRAYU
201.10.0.0,201.10.0,0-CIUDAD DEL ESTE
201.11.1.0,201.11.1,0-CAPIATA
201.11.3.0,201.11.3,0-FERNANDO DE LA MORA
201.12.0.0,201.12.0,0-PILAR 
201.13.0.0,201.13.0,0-PEDRO J. CABALLERO
201.14.3.0,201.14.3,0-FRANCISCO CABALLERO ALVAREZ
201.15.0.0,201.15.0,0-VILLA HAYES
204.0.0.0,204.0.0,0-ASUNCION
204.1.0.0,204.1.0,0-CONCEPCION
204.2.21.0,204.2.21,0-SAN ESTANISLAO
204.3.0.0,204.3.0,0-CAACUPE
204.4.0.0,204.4.0,0-VILLARRICA
204.5.0.0,204.5.0,0-CORONEL OVIEDO
204.6.0.0,204.6.0,0-CAAZAPA
204.7.0.0,204.7.0,0-ENCARNACION 
204.8.0.0,204.8.0,0-SAN JUAN BAUTISTA
204.9.0.0,204.9.0,0-PARAGUARI
204.10.0.0,204.10.0,0-CIUDAD DEL ESTE
204.11.3.0,204.11.3,0-FERNANDO DE LA MORA
204.12.0.0,204.12.0,0-PILAR 
204.13.0.0,204.13.0,0-PEDRO J. CABALLERO
204.14.0.0,204.14.0,0-SALTO DEL GUAIRA
204.15.0.0,204.15.0,0-VILLA HAYES
205.0.0.0,205.0.0,0-ASUNCION
205.3.0.0,205.3.0,0-CAACUPE
205.3.27.0,205.3.27,0-PIRIBEBUY
205.6.15.0,205.6.15,0-TAVAI
205.7.0.0,205.7.0,0-ENCARNACION 
205.9.1.0,205.9.1,0-ACAHAY
205.10.0.0,205.10.0,0-CIUDAD DEL ESTE
205.11.1.0,205.11.1,0-CAPIATA
205.11.13.0,205.11.13,0-LAMBARE
205.11.17.0,205.11.17,0-LUQUE
205.15.0.0,205.15.0,0-VILLA HAYES
205.15.1.0,205.15.1,0-BENJAMIN ACEVAL
206.4.0.0,206.4.0,0-VILLARRICA
206.11.35.0,206.11.35,0-YPANE
207.0.0.0,207.0.0,0-ASUNCION
207.1.11.0,207.1.11,0-ARROYITO
207.2.9.0,207.2.9,0-GRAL. ELIZARDO AQUINO
207.3.35.0,207.3.35,0-TOBATI
207.4.30.0,207.4.30,0-TEBICUARY
207.5.3.0,207.5.3,0-CAAGUAZU
207.6.17.0,207.6.17,0-YUTY
207.7.0.0,207.7.0,0-ENCARNACION 
207.8.3.0,207.8.3,0-SAN IGNACIO
207.9.5.0,207.9.5,0-CARAPEGUA
207.10.25.0,207.10.25,0-PRESIDENTE FRANCO
207.11.27.0,207.11.27,0-SAN LORENZO
207.12.0.0,207.12.0,0-PILAR 
207.13.0.0,207.13.0,0-PEDRO J. CABALLERO
207.14.3.0,207.14.3,0-FRANCISCO CABALLERO ALVAREZ
207.15.5.0,207.15.5,0-NANAWA 
207.16.0.0,207.16.0,0-FUERTE OLIMPO 
207.17.0.0,207.17.0,0-FILADELFIA 
208.0.0.0,208.0.0,0-ASUNCION
208.2.0.0,208.2.0,0-SAN PEDRO DEL YCUAMANDYJU
208.5.0.0,208.5.0,0-CORONEL OVIEDO
208.10.0.0,208.10.0,0-CIUDAD DEL ESTE
208.11.9.0,208.11.9,0-ITAUGUA
