id_mesa,id_establecimiento,nro_mesa,sexo,tipo,extranjera,ciudadanos_habilitados
0,201.0.0.0.1,201.0.0.0.1.1,X,Electronica,NO,500
1,201.1.9.0.1,201.1.9.0.1.1,X,Electronica,NO,500
2,201.2.0.0.1,201.2.0.0.1.1,X,Electronica,NO,500
3,201.3.0.0.1,201.3.0.0.1.1,X,Electronica,NO,500
4,201.4.1.0.1,201.4.1.0.1.1,X,Electronica,NO,500
5,201.6.0.0.1,201.6.0.0.1.1,X,Electronica,NO,500
6,201.7.0.0.1,201.7.0.0.1.1,X,Electronica,NO,500
7,201.8.0.0.1,201.8.0.0.1.1,X,Electronica,NO,500
8,201.9.15.0.1,201.9.15.0.1.1,X,Electronica,NO,500
9,201.10.0.0.1,201.10.0.0.1.1,X,Electronica,NO,500
10,201.11.1.0.1,201.11.1.0.1.1,X,Electronica,NO,500
11,201.11.3.0.1,201.11.3.0.1.1,X,Electronica,NO,500
12,201.12.0.0.1,201.12.0.0.1.1,X,Electronica,NO,500
13,201.13.0.0.1,201.13.0.0.1.1,X,Electronica,NO,500
14,201.14.3.0.1,201.14.3.0.1.1,X,Electronica,NO,500
15,201.15.0.0.1,201.15.0.0.1.1,X,Electronica,NO,500
16,204.0.0.0.1,204.0.0.0.1.1,X,Electronica,NO,500
17,204.1.0.0.1,204.1.0.0.1.1,X,Electronica,NO,500
18,204.2.21.0.1,204.2.21.0.1.1,X,Electronica,NO,500
19,204.3.0.0.1,204.3.0.0.1.1,X,Electronica,NO,500
20,204.4.0.0.1,204.4.0.0.1.1,X,Electronica,NO,500
21,204.5.0.0.1,204.5.0.0.1.1,X,Electronica,NO,500
22,204.6.0.0.1,204.6.0.0.1.1,X,Electronica,NO,500
23,204.7.0.0.1,204.7.0.0.1.1,X,Electronica,NO,500
24,204.8.0.0.1,204.8.0.0.1.1,X,Electronica,NO,500
25,204.9.0.0.1,204.9.0.0.1.1,X,Electronica,NO,500
26,204.10.0.0.1,204.10.0.0.1.1,X,Electronica,NO,500
27,204.11.3.0.1,204.11.3.0.1.1,X,Electronica,NO,500
28,204.12.0.0.1,204.12.0.0.1.1,X,Electronica,NO,500
29,204.13.0.0.1,204.13.0.0.1.1,X,Electronica,NO,500
30,204.14.0.0.1,204.14.0.0.1.1,X,Electronica,NO,500
31,204.15.0.0.1,204.15.0.0.1.1,X,Electronica,NO,500
32,205.0.0.0.1,205.0.0.0.1.1,X,Electronica,NO,500
33,205.3.0.0.1,205.3.0.0.1.1,X,Electronica,NO,500
34,205.3.27.0.1,205.3.27.0.1.1,X,Electronica,NO,500
35,205.6.15.0.1,205.6.15.0.1.1,X,Electronica,NO,500
36,205.7.0.0.1,205.7.0.0.1.1,X,Electronica,NO,500
37,205.9.1.0.1,205.9.1.0.1.1,X,Electronica,NO,500
38,205.10.0.0.1,205.10.0.0.1.1,X,Electronica,NO,500
39,205.11.1.0.1,205.11.1.0.1.1,X,Electronica,NO,500
40,205.11.13.0.1,205.11.13.0.1.1,X,Electronica,NO,500
41,205.11.17.0.1,205.11.17.0.1.1,X,Electronica,NO,500
42,205.15.0.0.1,205.15.0.0.1.1,X,Electronica,NO,500
43,205.15.1.0.1,205.15.1.0.1.1,X,Electronica,NO,500
44,206.4.0.0.1,206.4.0.0.1.1,X,Electronica,NO,500
45,206.11.35.0.1,206.11.35.0.1.1,X,Electronica,NO,500
46,207.0.0.0.1,207.0.0.0.1.1,X,Electronica,NO,500
47,207.1.11.0.1,207.1.11.0.1.1,X,Electronica,NO,500
48,207.2.9.0.1,207.2.9.0.1.1,X,Electronica,NO,500
49,207.3.35.0.1,207.3.35.0.1.1,X,Electronica,NO,500
50,207.4.30.0.1,207.4.30.0.1.1,X,Electronica,NO,500
51,207.5.3.0.1,207.5.3.0.1.1,X,Electronica,NO,500
52,207.6.17.0.1,207.6.17.0.1.1,X,Electronica,NO,500
53,207.7.0.0.1,207.7.0.0.1.1,X,Electronica,NO,500
54,207.8.3.0.1,207.8.3.0.1.1,X,Electronica,NO,500
55,207.9.5.0.1,207.9.5.0.1.1,X,Electronica,NO,500
56,207.10.25.0.1,207.10.25.0.1.1,X,Electronica,NO,500
57,207.11.27.0.1,207.11.27.0.1.1,X,Electronica,NO,500
58,207.12.0.0.1,207.12.0.0.1.1,X,Electronica,NO,500
59,207.13.0.0.1,207.13.0.0.1.1,X,Electronica,NO,500
60,207.14.3.0.1,207.14.3.0.1.1,X,Electronica,NO,500
61,207.15.5.0.1,207.15.5.0.1.1,X,Electronica,NO,500
62,207.16.0.0.1,207.16.0.0.1.1,X,Electronica,NO,500
63,207.17.0.0.1,207.17.0.0.1.1,X,Electronica,NO,500
64,208.0.0.0.1,208.0.0.0.1.1,X,Electronica,NO,500
65,208.2.0.0.1,208.2.0.0.1.1,X,Electronica,NO,500
66,208.5.0.0.1,208.5.0.0.1.1,X,Electronica,NO,500
67,208.10.0.0.1,208.10.0.0.1.1,X,Electronica,NO,500
68,208.11.9.0.1,208.11.9.0.1.1,X,Electronica,NO,500
69,210.0.0.0.1,210.0.0.0.1.1,X,Electronica,NO,500
70,210.1.0.0.1,210.1.0.0.1.1,X,Electronica,NO,500
71,210.2.13.0.1,210.2.13.0.1.1,X,Electronica,NO,500
72,210.3.0.0.1,210.3.0.0.1.1,X,Electronica,NO,500
73,210.4.0.0.1,210.4.0.0.1.1,X,Electronica,NO,500
74,210.5.3.0.1,210.5.3.0.1.1,X,Electronica,NO,500
75,210.6.0.0.1,210.6.0.0.1.1,X,Electronica,NO,500
76,210.9.1.0.1,210.9.1.0.1.1,X,Electronica,NO,500
77,210.11.1.0.1,210.11.1.0.1.1,X,Electronica,NO,500
78,210.14.13.0.1,210.14.13.0.1.1,X,Electronica,NO,500
79,210.15.0.0.1,210.15.0.0.1.1,X,Electronica,NO,500
80,211.0.0.0.1,211.0.0.0.1.1,X,Electronica,NO,500
81,211.1.0.0.1,211.1.0.0.1.1,X,Electronica,NO,500
82,211.2.13.0.1,211.2.13.0.1.1,X,Electronica,NO,500
83,211.2.21.0.1,211.2.21.0.1.1,X,Electronica,NO,500
84,211.3.0.0.1,211.3.0.0.1.1,X,Electronica,NO,500
85,211.4.0.0.1,211.4.0.0.1.1,X,Electronica,NO,500
86,211.5.0.0.1,211.5.0.0.1.1,X,Electronica,NO,500
87,211.5.3.0.1,211.5.3.0.1.1,X,Electronica,NO,500
88,211.6.13.0.1,211.6.13.0.1.1,X,Electronica,NO,500
89,211.7.0.0.1,211.7.0.0.1.1,X,Electronica,NO,500
90,211.7.49.0.1,211.7.49.0.1.1,X,Electronica,NO,500
91,211.8.0.0.1,211.8.0.0.1.1,X,Electronica,NO,500
92,211.9.5.0.1,211.9.5.0.1.1,X,Electronica,NO,500
93,211.10.0.0.1,211.10.0.0.1.1,X,Electronica,NO,500
94,211.11.3.0.1,211.11.3.0.1.1,X,Electronica,NO,500
95,211.12.0.0.1,211.12.0.0.1.1,X,Electronica,NO,500
96,211.13.0.0.1,211.13.0.0.1.1,X,Electronica,NO,500
97,211.14.0.0.1,211.14.0.0.1.1,X,Electronica,NO,500
98,211.15.0.0.1,211.15.0.0.1.1,X,Electronica,NO,500
99,211.16.0.0.1,211.16.0.0.1.1,X,Electronica,NO,500
100,211.17.1.0.1,211.17.1.0.1.1,X,Electronica,NO,500
101,211.17.3.0.1,211.17.3.0.1.1,X,Electronica,NO,500
102,212.0.0.0.1,212.0.0.0.1.1,X,Electronica,NO,500
103,212.1.0.0.1,212.1.0.0.1.1,X,Electronica,NO,500
104,212.1.11.0.1,212.1.11.0.1.1,X,Electronica,NO,500
105,212.3.0.0.1,212.3.0.0.1.1,X,Electronica,NO,500
106,212.4.0.0.1,212.4.0.0.1.1,X,Electronica,NO,500
107,212.5.25.0.1,212.5.25.0.1.1,X,Electronica,NO,500
108,212.6.0.0.1,212.6.0.0.1.1,X,Electronica,NO,500
109,212.7.0.0.1,212.7.0.0.1.1,X,Electronica,NO,500
110,212.8.3.0.1,212.8.3.0.1.1,X,Electronica,NO,500
111,212.9.11.0.1,212.9.11.0.1.1,X,Electronica,NO,500
112,212.10.0.0.1,212.10.0.0.1.1,X,Electronica,NO,500
113,212.11.17.0.1,212.11.17.0.1.1,X,Electronica,NO,500
114,212.12.0.0.1,212.12.0.0.1.1,X,Electronica,NO,500
115,212.13.0.0.1,212.13.0.0.1.1,X,Electronica,NO,500
116,212.14.13.0.1,212.14.13.0.1.1,X,Electronica,NO,500
117,212.16.0.0.1,212.16.0.0.1.1,X,Electronica,NO,500
118,212.17.3.0.1,212.17.3.0.1.1,X,Electronica,NO,500
119,213.0.0.0.1,213.0.0.0.1.1,X,Electronica,NO,500
120,213.1.11.0.1,213.1.11.0.1.1,X,Electronica,NO,500
121,213.2.24.0.1,213.2.24.0.1.1,X,Electronica,NO,500
122,213.3.0.0.1,213.3.0.0.1.1,X,Electronica,NO,500
123,213.4.13.0.1,213.4.13.0.1.1,X,Electronica,NO,500
124,213.5.3.0.1,213.5.3.0.1.1,X,Electronica,NO,500
125,213.6.13.0.1,213.6.13.0.1.1,X,Electronica,NO,500
126,213.7.0.0.1,213.7.0.0.1.1,X,Electronica,NO,500
127,213.9.0.0.1,213.9.0.0.1.1,X,Electronica,NO,500
128,213.10.0.0.1,213.10.0.0.1.1,X,Electronica,NO,500
129,213.11.27.0.1,213.11.27.0.1.1,X,Electronica,NO,500
130,213.12.0.0.1,213.12.0.0.1.1,X,Electronica,NO,500
131,213.13.0.0.1,213.13.0.0.1.1,X,Electronica,NO,500
132,213.14.0.0.1,213.14.0.0.1.1,X,Electronica,NO,500
133,213.15.0.0.1,213.15.0.0.1.1,X,Electronica,NO,500
134,213.16.3.0.1,213.16.3.0.1.1,X,Electronica,NO,500
135,213.17.3.0.1,213.17.3.0.1.1,X,Electronica,NO,500
136,215.0.0.0.1,215.0.0.0.1.1,X,Electronica,NO,500
137,215.7.0.0.1,215.7.0.0.1.1,X,Electronica,NO,500
138,215.10.0.0.1,215.10.0.0.1.1,X,Electronica,NO,500
139,215.11.27.0.1,215.11.27.0.1.1,X,Electronica,NO,500
140,215.14.16.0.1,215.14.16.0.1.1,X,Electronica,NO,500
141,215.17.3.0.1,215.17.3.0.1.1,X,Electronica,NO,500
142,216.0.0.0.1,216.0.0.0.1.1,X,Electronica,NO,500
143,216.2.5.0.1,216.2.5.0.1.1,X,Electronica,NO,500
144,216.2.11.0.1,216.2.11.0.1.1,X,Electronica,NO,500
145,216.4.0.0.1,216.4.0.0.1.1,X,Electronica,NO,500
146,216.5.13.0.1,216.5.13.0.1.1,X,Electronica,NO,500
147,216.6.17.0.1,216.6.17.0.1.1,X,Electronica,NO,500
148,216.7.0.0.1,216.7.0.0.1.1,X,Electronica,NO,500
149,216.7.17.0.1,216.7.17.0.1.1,X,Electronica,NO,500
150,216.9.9.0.1,216.9.9.0.1.1,X,Electronica,NO,500
151,216.9.21.0.1,216.9.21.0.1.1,X,Electronica,NO,500
152,216.10.0.0.1,216.10.0.0.1.1,X,Electronica,NO,500
153,216.11.27.0.1,216.11.27.0.1.1,X,Electronica,NO,500
154,216.12.3.0.1,216.12.3.0.1.1,X,Electronica,NO,500
155,216.13.0.0.1,216.13.0.0.1.1,X,Electronica,NO,500
