IDCANDIDATO,CODCANDIDATURA,CODELECCION,CODDEPARTAMENTO,CODDISTRITO,CODZONA,CODLISTA,ORDEN,NOMBRE
384144,34,194,0,,,1,1,Maria Blanca Lila Mignarro Gonzalez
384145,34,194,0,,,1,2,Carlos Maria Aquino Lopez
384146,34,194,0,,,1,3,Sara Zunilda Sosa Saucedo
384148,34,194,0,,,1,4,Modesto Ramon Guggiari Doutrelau
384149,34,194,0,,,1,5,Victor Andres Buzarquis Garcia
384150,34,194,0,,,1,6,Rosa Amalia Mancuello Ozuna
384152,34,194,0,,,1,7,Olga Nathalia Portillo Castillo
383885,34,194,0,,,2,1,Agustin Saguier 
383886,34,194,0,,,2,2,Monica Gomez 
383892,34,194,0,,,2,3,Federico Enciso
383887,34,194,0,,,2,4,Pilar Abente
383888,34,194,0,,,2,5,Jorge Amarilla
383889,34,194,0,,,2,6,Marta Benitez Florentin
383890,34,194,0,,,2,7,Gonzalo Carreras
384209,34,194,0,,,3,1,Manuel Radice
384210,34,194,0,,,3,2,Andrea Elizalde Cañellas
384211,34,194,0,,,3,3,Juan Farina Gomez
384212,34,194,0,,,3,4,Nabila Frachi
384213,34,194,0,,,3,5,Hugo Nuñez
384214,34,194,0,,,3,6,Salome Galeano
384215,34,194,0,,,3,7,Luis Almada
384163,34,194,0,,,4,1,David Jure
384172,34,194,0,,,4,2,Gisselle Barrail Barrios
384173,34,194,0,,,4,3,Jorge Raul Leoz
384174,34,194,0,,,4,4,Liliene Bareiro
384176,34,194,0,,,4,5,Luis Maria Castagnino
384181,34,194,0,,,4,6,Gladys Concepcion Martinez De Valdez
384190,34,194,0,,,4,7,Ramon Dario Roa
151581,81,194,1,,,5,1,Eliseo Guggiari
151513,81,194,1,,,6,1,Dr. Araujo
151498,81,194,1,,,7,1,Edgar Dominguez
517933,82,194,1,,,8,1,Cesar Castillo
517934,82,194,1,,,8,2,Jorge Gaspar Almada Martinez
517935,82,194,1,,,8,3,Nelson Rojas Ayala
151618,82,194,1,,,9,1,Vidala Franco
151619,82,194,1,,,9,2,Alcira Cabrera
151620,82,194,1,,,9,3,Diego Romero
151515,82,194,1,,,10,1,Emilio Pavon
151518,82,194,1,,,10,2,Perla Silva
151520,82,194,1,,,10,3,Victor Araujo
151499,82,194,1,,,11,1,Andres Rojas 
151500,82,194,1,,,11,2,Escribana Zulma Dominguez 
151501,82,194,1,,,11,3, Ingeniero Félix Ayala 
151583,83,194,1,,,12,1,Abog. Ruben Dario Escobar S.
151584,83,194,1,,,12,2,Danilo Ocampo
151588,83,194,1,,,12,3,Cristhian Centurion
151589,83,194,1,,,12,4,Venancio Espinoza
151590,83,194,1,,,12,5,Gloria Roman Zarza
151591,83,194,1,,,12,6,Agustin Figueredo
151592,83,194,1,,,12,7,Mario Baez
151593,83,194,1,,,12,8,Gustavo Vargas
151594,83,194,1,,,12,9,Anibal Quevedo
151595,83,194,1,,,12,10,Prof. Graciela Ruiz
151596,83,194,1,,,12,11,Dario Torres
151597,83,194,1,,,12,12,Lic. Antonina Vera
151598,83,194,1,,,12,13,Marcial Florenciani
