codcandidatura,descripcion,nivel,nro_orden,tipo,descripcion_corta
32,PRESIDENTE Y VICEPRESIDENTE DE LA REPUBLICA,NACIONAL,1,1,PRE
80,PRESIDENTE Y VICEPRESIDENTE DE LA REPUBLICA - CONCERTACION,NACIONAL,2,1,PRC
33,SENADORES,NACIONAL,3,2,SEN
34,DIPUTADOS,DEPARTAMENTO,4,2,DIP
82,DIPUTADOS - CONCERTACION,DEPARTAMENTO,5,2,DIC
35,GOBERNADOR,DEPARTAMENTO,6,1,GOB
81,GOBERNADOR - CONCERTACION,DEPARTAMENTO,7,1,GOC
36,JUNTA DEPARTAMENTAL,DEPARTAMENTO,8,2,JDE
83,JUNTA DEPARTAMENTAL - CONCERTACION,DEPARTAMENTO,9,2,JDC
37,PRESIDENTE DE LA JUNTA DE GOBIERNO - ANR,NACIONAL,10,1,PJG
38,"MIEMBROS DE LA JUNTA DE GOBIERNO, SEGMENTO NACIONAL - ANR",NACIONAL,11,2,MNJ
39,"MIEMBROS DE LA JUNTA DE GOBIERNO, SEGMENTO REGIONAL - ANR",DEPARTAMENTO,12,2,MDG
40,PRESIDENTE DE LA COMISIÓN SECCIONAL - ANR,ZONA,13,1,PDS
41,MIEMBRO DE LA COMISIÓN SECCIONAL - ANR,ZONA,14,2,MTS
42,DELEGADO CONVENCIONAL - ANR,ZONA,15,2,DCT
47,PRESIDENTE - PEN,NACIONAL,16,1,PR1
48,DELEGADO CONVENCIONAL LISTA NACIONAL - PEN,NACIONAL,17,2,DNP
49,DELEGADO CONVENCIONAL LISTA DEPARTAMENTAL - PEN,DEPARTAMENTO,18,2,DDP
50,MIEMBRO DEL CONSEJO LISTA NACIONAL - PEN,NACIONAL,19,2,MLN
51,MIEMBRO DEL CONSEJO LISTA DEPARTAMENTAL - PEN,DEPARTAMENTO,20,2,MDC
52,PRESIDENTE - VICE 1° Y 2° - PDP,NACIONAL,21,1,PR2
53,MIEMBROS DE LA CONDUCCION NACIONAL - PDP,NACIONAL,22,2,MCN
54,DELEGADOS CONVENCIONALES - PDP ,NACIONAL,23,2,DCP
55,PRESIDENTE Y VICEPRESIDENTE - PNG30A,NACIONAL,24,1,PR3
56,MIEMBROS DE LA CONDUCCION NACIONAL - PNG30A,NACIONAL,25,2,MNC
57,MIEMBROS CONVENCIONALES - PNG30A,NACIONAL,26,2,MIC
58,PRESIDENTE Y VICEPRESIDENTE COMITE DEPARTAMENTAL - PNG30A,DEPARTAMENTO,27,1,PVC
59,MIEMBROS COMITE DEPARTAMENTAL - PNG30A,DEPARTAMENTO,28,2,MCD
60,VICEPRESIDENTE PRIMERO - PPH,NACIONAL,29,1,VPP
64,PRESIDENTE  Y VICEPRESIDENTES DE LA JUNTA NACIONAL - PDC,NACIONAL,30,1,PVJ
67,MIEMBROS DE LA JUNTA NACIONAL - PDC,NACIONAL,31,2,MJN
69,MIEMBROS DE LA JUNTA DEPARTAMENTAL - PDC,DEPARTAMENTO,32,2,MJD
70,PRESIDENTE Y VICEPRESIDENTE DE LA JUNTA  DEPARTAMENTAL - PDC,DEPARTAMENTO,33,1,PVD
71,PRESIDENTE  Y VICEPRESIDENTE DE LA DIRECCION NACIONAL DE LA JUVENTUD - PDC,NACIONAL,34,1,PVN
72,MIEMBROS DE LA DIRECCION NACIONAL  DE LA JUVENTUD - PDC,NACIONAL,35,2,DNJ
74,PRESIDENTA Y VICEPRESIDENTA DE LA DIRECCION NACIONAL DE MUJERES - PDC,NACIONAL,36,1,DNM
75,MIEMBROS DE LA DIRECCION NACIONAL  DE MUJERES - PDC,NACIONAL,37,2,MNM
77,PRESIDENTE Y VICEPRESIDENTE DE LA DIRECCION NACIONAL DE TRABAJADORES - PDC,NACIONAL,38,1,PVT
78,MIEMBROS DE LA DIRECCION NACIONAL DE TRABAJADORES - PDC,NACIONAL,39,2,MDT
5,DIRECTORIO DEPARTAMENTAL,DEPARTAMENTO,40,2,DID
6,CONVENCIONAL,ZONA,41,2,CON
7,COMITÉ LOCAL,ZONA,42,2,COL
