COD_ELECCION,CODLISTA,DESCRIPCION,DESCRIPCION_CORTA,NUMLISTA,NRO_ORDEN
194,3,SOMBRERO PIRI,SP19,19,3
194,1,VAMOS JUNTOS,VJ,3,1
194,4,RENOVACION AZUL,RA,50,4
194,2,FRENTE DE INTEGRACION LIBERAL,FIL,9,2
194,7,DEL NUEVO PAIS,NP,22,7
194,5,FIL POR LA PATRIA MAS ENCUENTRO 9E,FILE9E,9E,5
194,6,FIL POR LA PATRIA MAS ENCUENTRO 9JA,FILE,9JA,6
194,11,DEL NUEVO PAIS,NP,22,11
194,8,SOLUCION,SOLUCION,5,8
194,9,FIL POR LA PATRIA MAS ENCUENTRO 9E,FILE9E,9E,9
194,10,FIL POR LA PATRIA MAS ENCUENTRO 9JA,FILE,9JA,10
194,14,DEL NUEVO PAIS,NP,22,14
194,12,FIL POR LA PATRIA MAS ENCUENTRO 9E,FILE9E,9E,12
194,13,FIL POR LA PATRIA MAS ENCUENTRO 9JA,FILE,9JA,13
194,17,DEL NUEVO PAIS,NP,22,17
194,15,FIL POR LA PATRIA MAS ENCUENTRO 9P,FILE9P,9P,15
194,16,FIL POR LA PATRIA MAS ENCUENTRO 9V,FILE9V,9V,16
194,20,DEL NUEVO PAIS,NP,22,20
194,18,FIL POR LA PATRIA MAS ENCUENTRO 9P,FILE9P,9P,18
194,19,FIL POR LA PATRIA MAS ENCUENTRO 9V,FILE9V,9V,19
194,23,DEL NUEVO PAIS,NP,22,23
194,21,FIL POR LA PATRIA MAS ENCUENTRO 9P,FILE9P,9P,21
194,22,FIL POR LA PATRIA MAS ENCUENTRO 9V,FILE9V,9V,22
194,25,DEL NUEVO PAIS,NP,22,25
194,24,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,24
194,28,DEL NUEVO PAIS,NP,22,28
194,26,SOLUCION,SOLUCION,5,26
194,27,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,27
194,30,DEL NUEVO PAIS,NP,22,30
194,29,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,29
194,33,MOVIMIENTO DEL NUEVO PAIS,NP,22,33
194,31,FRENTE DE INTEGRACION LIBERAL,FIL,9,31
194,32,FIL POR LA PATRIA 9 A,FIL9A,9A,32
194,36,MOVIMIENTO DEL NUEVO PAIS,NP,22,36
194,34,FRENTE DE INTEGRACION LIBERAL,FIL,9,34
194,35,FIL POR LA PATRIA 9 A,FIL9A,9A,35
194,37,CAMBIO GUAIRA,CG,8,37
194,38,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,38
194,41,DEL NUEVO PAIS,NP,22,41
194,39,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,39
194,40,FIL POR LA PATRIA MAS ENCUENTRO 9AZUL,FILE9AZUL,9AZUL,40
194,42,DE LA VICTORIA,DLV,2,42
194,46,DEL NUEVO PAIS,NP,22,46
194,43,SOLUCION,SOLUCION,5,43
194,44,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,44
194,45,FIL POR LA PATRIA MAS ENCUENTRO 9AZUL,FILE9AZUL,9AZUL,45
194,47,DE LA VICTORIA,DLV,2,47
194,50,DEL NUEVO PAIS,NP,22,50
194,48,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,48
194,49,FIL POR LA PATRIA MAS ENCUENTRO 9AZUL,FILE9AZUL,9AZUL,49
194,52,MOVIMIENTO DEL NUEVO PAIS,NP,22,52
194,51,FRENTE DE INTEGRACION LIBERAL,FIL,9,51
194,54,MOVIMIENTO DEL NUEVO PAIS,NP,22,54
194,55,RENOVACION AZUL,L50,50,55
194,53,FRENTE DE INTEGRACION LIBERAL,FIL,9,53
194,57,ÑAMOPORAVE CAAZAPA,ÑPVC,12,57
194,56,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,56
194,58,ITAPUA EN MARCHA,IEM,4,58
194,59,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,59
194,62,DEL NUEVO PAIS 22A,UPLV,22A,62
194,63,DEL NUEVO PAIS 22X,NP,22X,63
194,60,ITAPUA AVANZA,IA,5,60
194,61,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,61
194,66,DEL NUEVO PAIS 22A,UPLV,22A,66
194,67,DEL NUEVO PAIS 22X,NP,22X,67
194,64,ITAPUA AVANZA,IA,5,64
194,65,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,65
194,68,FEBRERISMO POR SIEMPRE,FPS,3,68
194,70,DEL NUEVO PAIS,NP,22,70
194,69,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,69
194,72,DEL NUEVO PAIS,NP,22,72
194,71,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,71
194,74,MOVIMIENTO DEL NUEVO PAIS,NP,22,74
194,73,FRENTE DE INTEGRACION LIBERAL,FIL,9,73
194,77,MOVIMIENTO DEL NUEVO PAIS,NP,22,77
194,75,MOVIMIENTO DE LA VICTORIA,MDLV,5,75
194,76,FRENTE DE INTEGRACION LIBERAL,FIL,9,76
194,78,FEBRERISMO POR SIEMPRE,FPS,3,78
194,79,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,79
194,82,UNIDOS PARA LA VICTORIA ALTO PARANA,MUPVAP,22,82
194,80,SOLUCION,SOLUCION,5,80
194,81,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,81
194,85,UNIDOS PARA LA VICTORIA ALTO PARANA,MUPVAP,22,85
194,83,SOLUCION,SOLUCION,5,83
194,84,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,84
194,88,UNIDOS PARA LA VICTORIA ALTO PARANA,MUPVAP,22,88
194,86,SOLUCION,SOLUCION,5,86
194,87,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,87
194,90,SIGLO 21,L21,21,90
194,91,MOVIMIENTO DEL NUEVO PAIS,NP,22,91
194,92,RENOVACION AZUL,RA,50,92
194,89,FRENTE DE INTEGRACION LIBERAL,FIL,9,89
194,94,SIGLO 21,L21,21,94
194,95,MOVIMIENTO DEL NUEVO PAIS,NP,22,95
194,96,RENOVACION AZUL,RA,50,96
194,93,FRENTE DE INTEGRACION LIBERAL,FIL,9,93
194,99,SIGLO 21,L21,21,99
194,97,ROHAYHU CENTRAL,RC,5,97
194,98,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,98
194,101,MOVIMIENTO DEL NUEVO PAIS,NP,22,101
194,100,FRENTE DE INTEGRACION LIBERAL,FIL,9,100
194,103,MOVIMIENTO DEL NUEVO PAIS,NP,22,103
194,102,FRENTE DE INTEGRACION LIBERAL,FIL,9,102
194,106,DEL NUEVO PAIS,NP,22,106
194,104,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,104
194,105,ÑAMOPU´A ÑEEMBUCU,MÑPÑ,9C,105
194,108,NUEVO PAIS,L22,22,108
194,109,RENOVACION AZUL,L50,50,109
194,107,FRENTE DE INTEGRACION LIBERAL,FIL9,9,107
194,111,NUEVO PAIS,L22,22,111
194,112,RENOVACION AZUL,L50,50,112
194,110,FRENTE DE INTEGRACION LIBERAL,FIL9,9,110
194,116,SIGLO 21,L21,21,116
194,117,DEL NUEVO PAIS,NP,22,117
194,113,CAMBIEMOS CNP,CBCNP,4,113
194,114,EQUIPO JOVEN PARAGUAY,EQJPY,7,114
194,115,FIL POR LA PATRIA MAS ENCUENTRO,FILE9,9,115
194,120,MOVIMIENTO DEL NUEVO PAIS,NP,22,120
194,118,FRENTE DE INTEGRACION LIBERAL,FIL,9,118
194,119,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,119
194,124,MOVIMIENTO DEL NUEVO PAIS,NP,22,124
194,121,FRENTE DE INTEGRACION LIBERAL,FIL,9,121
194,122,FRENTE DE INTEGRACION LIBERAL 9 A,FIL9A,9A,122
194,123,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,123
194,125,FEBRERISMO POR SIEMPRE,FPS,3,125
194,127,DEL NUEVO PAIS PLRA,DNPPLRA,22,127
194,126,FRENTE DE INTEGRACION LIBERAL,FIL,9,126
194,129,DEL NUEVO PAIS PLRA,DNPPLRA,22,129
194,128,FRENTE DE INTEGRACION LIBERAL,FIL,9,128
194,131,PRESIDENTE HAYES CON ESPERANZA,PHCE,22,131
194,130,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,130
194,132,DEL NUEVO PAIS,NP,22,132
194,133,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,133
194,134,DE LA VICTORIA,MV,2,134
194,135,FIL POR LA PATRIA MAS ENCUENTRO,FILE,9,135
194,137,MOVIMIENTO DEL NUEVO PAIS,NP,22,137
194,136,FRENTE DE INTEGRACION LIBERAL,FIL,9,136
194,140,NUEVO PAIS,NP,22,140
194,138,FRENTE DE INTEGRACION LIBERAL,FIL,9A,138
194,139,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,139
194,143,NUEVO PAIS,NP,22,143
194,141,FRENTE DE INTEGRACION LIBERAL,FIL,9A,141
194,142,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,142
194,145,NUEVO PAIS,NP,22,145
194,144,FRENTE DE INTEGRACION LIBERAL,FIL,9A,144
194,147,NUEVO PAIS,NP,22,147
194,146,FRENTE DE INTEGRACION LIBERAL,FIL,9A,146
194,151,NUEVO PAIS,NP,22,151
194,148,FRENTE DE INTEGRACION LIBERAL,FIL,9A,148
194,149,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,149
194,150,FRENTE DE INTEGRACION LIBERAL,L9C,9C,150
194,155,NUEVO PAIS,NP,22,155
194,152,FRENTE DE INTEGRACION LIBERAL,FIL,9A,152
194,153,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,153
194,154,FRENTE DE INTEGRACION LIBERAL,L9C,9C,154
194,158,NUEVO PAIS,NP,22,158
194,156,FRENTE DE INTEGRACION LIBERAL,FIL,9A,156
194,157,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,157
194,161,NUEVO PAIS,NP,22,161
194,159,FRENTE DE INTEGRACION LIBERAL,FIL,9A,159
194,160,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,160
194,162,FRENTE DE INTEGRACION LIBERAL,FIL,9A,162
194,163,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,163
194,164,FRENTE DE INTEGRACION LIBERAL,FIL,9A,164
194,165,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,165
194,166,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,166
194,167,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,167
194,168,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,168
194,169,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,169
194,170,FRENTE DE INTEGRACION LIBERAL,FIL9AZUL,9AZUL,170
194,171,FRENTE DE INTEGRACION LIBERAL,FIL9AZUL,9AZUL,171
194,172,FRENTE DE INTEGRACION LIBERAL 9 AZUL,FIL9AZUL,9AZUL,172
