codeleccion,deseleccion,coddepartamento,desdepartamento,coddistrito,desdistrito,codzona,deszona,codlocal,deslocal,mesa,tipo,id_credencial
201,PARTIDO NACIONAL DE LA GENTE 30-A,0,0-CAPITAL,0,0-ASUNCION,0,0-ASUNCION,1,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,NORMAL,70180246
201,PARTIDO NACIONAL DE LA GENTE 30-A,1,1-CONCEPCION,9,9-YBY YA'U,0,0-YBY YA'U,1,1-ESC. Nº 540 EPOPEYA NACIONAL,1,NORMAL,57697308
201,PARTIDO NACIONAL DE LA GENTE 30-A,2,2-SAN PEDRO,0,0-SAN PEDRO DEL YCUAMANDYJU,0,0-SAN PEDRO DEL YCUAMANDYJU,1,1-ESCUELA N° 31 DON BRAULIO ZELADA ,1,NORMAL,10816306
201,PARTIDO NACIONAL DE LA GENTE 30-A,3,3-CORDILLERA,0,0-CAACUPE,0,0-CAACUPE,1,1-SALON MUNICIPAL CAACUPE,1,NORMAL,19266555
201,PARTIDO NACIONAL DE LA GENTE 30-A,4,4-GUAIRA,1,1-BORJA,0,0-BORJA,1,1-REGISTRO ELECTORAL DE BORJA,1,NORMAL,86077440
201,PARTIDO NACIONAL DE LA GENTE 30-A,6,6-CAAZAPA,0,0-CAAZAPA,0,0-CAAZAPA,1,1-TINGLADO - EX. MUNICIPALIDAD DE CAAZAPA,1,NORMAL,22027292
201,PARTIDO NACIONAL DE LA GENTE 30-A,7,7-ITAPUA,0,0-ENCARNACION ,0,0-ENCARNACION ,1,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,NORMAL,88928539
201,PARTIDO NACIONAL DE LA GENTE 30-A,8,8-MISIONES,0,0-SAN JUAN BAUTISTA,0,0-SAN JUAN BAUTISTA,1,1-COL. PEDRO P. PEÑA NRO. 237,1,NORMAL,54194467
201,PARTIDO NACIONAL DE LA GENTE 30-A,9,9-PARAGUARI,15,15-PIRAYU,0,0-PIRAYU,1,1-REGISTRO ELECTORAL DE PIRAYU,1,NORMAL,35117769
201,PARTIDO NACIONAL DE LA GENTE 30-A,10,10-ALTO PARANA,0,0-CIUDAD DEL ESTE,0,0-CIUDAD DEL ESTE,1,1-COL. ATANACIO RIERA AREA 1,1,NORMAL,66336872
201,PARTIDO NACIONAL DE LA GENTE 30-A,11,11-CENTRAL,1,1-CAPIATA,0,0-CAPIATA,1,1-COLEGIO POLITECNICO COOPERATIVA CAPIATA ,1,NORMAL,31778551
201,PARTIDO NACIONAL DE LA GENTE 30-A,11,11-CENTRAL,3,3-FERNANDO DE LA MORA,0,0-FERNANDO DE LA MORA,1,1-COLEGIO MEDALLA MILAGROSA ,1,NORMAL,17420131
201,PARTIDO NACIONAL DE LA GENTE 30-A,12,12-ÑEEMBUCU ,0,0-PILAR ,0,0-PILAR ,1,1-ESCUELA JUAN PABLO II,1,NORMAL,22603880
201,PARTIDO NACIONAL DE LA GENTE 30-A,13,13-AMAMBAY,0,0-PEDRO J. CABALLERO,0,0-PEDRO J. CABALLERO,1,1-ESC. BASICA Nº 458 MARISCAL FRANCISCO SOLANO LOPEZ,1,NORMAL,85813514
201,PARTIDO NACIONAL DE LA GENTE 30-A,14,14-CANINDEYU,3,3-FRANCISCO CABALLERO ALVAREZ,0,0-FRANCISCO CABALLERO ALVAREZ,1,1-ESCUELA BASICA JUAN PABLO II,1,NORMAL,38929166
201,PARTIDO NACIONAL DE LA GENTE 30-A,15,15-PRESIDENTE HAYES,0,0-VILLA HAYES,0,0-VILLA HAYES,1,1-ESC. DR. RAUL PEÑA,1,NORMAL,18283855
204,PARTIDO NACIONAL UNÁMONOS,0,0-CAPITAL,0,0-ASUNCION,0,0-ASUNCION,1,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,NORMAL,53909713
204,PARTIDO NACIONAL UNÁMONOS,1,1-CONCEPCION,0,0-CONCEPCION,0,0-CONCEPCION,1,1-ESC. PRESIDENTE FRANCO  (EX-ESC. NORMAL),1,NORMAL,38132065
204,PARTIDO NACIONAL UNÁMONOS,2,2-SAN PEDRO,21,21-SAN ESTANISLAO,0,0-SAN ESTANISLAO,1,1-COLEGIO NACIONAL SEBASTIAN YEGROS ,1,NORMAL,35055395
204,PARTIDO NACIONAL UNÁMONOS,3,3-CORDILLERA,0,0-CAACUPE,0,0-CAACUPE,1,1-SALON MUNICIPAL CAACUPE,1,NORMAL,12406798
204,PARTIDO NACIONAL UNÁMONOS,4,4-GUAIRA,0,0-VILLARRICA,0,0-VILLARRICA,1,1-MUNICIPALIDAD DE VILLARRICA ,1,NORMAL,18542946
204,PARTIDO NACIONAL UNÁMONOS,5,5-CAAGUAZU,0,0-CORONEL OVIEDO,0,0-CORONEL OVIEDO,1,1-ESC. ALICIO PERALTA,1,NORMAL,84154074
204,PARTIDO NACIONAL UNÁMONOS,6,6-CAAZAPA,0,0-CAAZAPA,0,0-CAAZAPA,1,1-TINGLADO - EX. MUNICIPALIDAD DE CAAZAPA,1,NORMAL,26222898
204,PARTIDO NACIONAL UNÁMONOS,7,7-ITAPUA,0,0-ENCARNACION ,0,0-ENCARNACION ,1,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,NORMAL,18835121
204,PARTIDO NACIONAL UNÁMONOS,8,8-MISIONES,0,0-SAN JUAN BAUTISTA,0,0-SAN JUAN BAUTISTA,1,1-REGISTRO ELECTORAL DE SAN JUAN BAUTISTA MISIONES,1,NORMAL,96551382
204,PARTIDO NACIONAL UNÁMONOS,9,9-PARAGUARI,0,0-PARAGUARI,0,0-PARAGUARI,1,1-TINGLADO MUNICIPAL,1,NORMAL,31063093
204,PARTIDO NACIONAL UNÁMONOS,10,10-ALTO PARANA,0,0-CIUDAD DEL ESTE,0,0-CIUDAD DEL ESTE,1,1-POLIDEPORTIVO MUNICIPAL DON CARLOS BARRETO SARUBBI,1,NORMAL,67560546
204,PARTIDO NACIONAL UNÁMONOS,11,11-CENTRAL,3,3-FERNANDO DE LA MORA,0,0-FERNANDO DE LA MORA,1,1-COLEGIO MEDALLA MILAGROSA ,1,NORMAL,12776106
204,PARTIDO NACIONAL UNÁMONOS,12,12-ÑEEMBUCU ,0,0-PILAR ,0,0-PILAR ,1,1-ESCUELA JUAN PABLO II,1,NORMAL,80541391
204,PARTIDO NACIONAL UNÁMONOS,13,13-AMAMBAY,0,0-PEDRO J. CABALLERO,0,0-PEDRO J. CABALLERO,1,1-REGISTRO ELECTORAL DE PEDRO JUAN CABALLERO ,1,NORMAL,49000721
204,PARTIDO NACIONAL UNÁMONOS,14,14-CANINDEYU,0,0-SALTO DEL GUAIRA,0,0-SALTO DEL GUAIRA,1,1-COL. NAC. DE S.D.G.,1,NORMAL,77000391
204,PARTIDO NACIONAL UNÁMONOS,15,15-PRESIDENTE HAYES,0,0-VILLA HAYES,0,0-VILLA HAYES,1,1-REGISTRO ELECTORAL DE VILLA HAYES,1,NORMAL,40836949
205,PARTIDO HAGAMOS,0,0-CAPITAL,0,0-ASUNCION,0,0-ASUNCION,1,1-PC PARTIDARIO PPH,1,NORMAL,49431750
205,PARTIDO HAGAMOS,3,3-CORDILLERA,0,0-CAACUPE,0,0-CAACUPE,1,1-SALON MUNICIPAL CAACUPE,1,NORMAL,30903288
205,PARTIDO HAGAMOS,3,3-CORDILLERA,27,27-PIRIBEBUY,0,0-PIRIBEBUY,1,1-REGISTRO ELECTORAL DE PIRIBEBUY,1,NORMAL,45765028
205,PARTIDO HAGAMOS,6,6-CAAZAPA,15,15-TAVAI,0,0-TAVAI,1,1-REGISTRO ELECTORAL DE TAVAI,1,NORMAL,60470871
205,PARTIDO HAGAMOS,7,7-ITAPUA,0,0-ENCARNACION ,0,0-ENCARNACION ,1,1-PC PARTIDARIO PPH,1,NORMAL,74079751
205,PARTIDO HAGAMOS,9,9-PARAGUARI,1,1-ACAHAY,0,0-ACAHAY,1,1-TINGLADO ASOCIACION DE PROFESORES,1,NORMAL,38147623
205,PARTIDO HAGAMOS,10,10-ALTO PARANA,0,0-CIUDAD DEL ESTE,0,0-CIUDAD DEL ESTE,1,1-POLIDEPORTIVO MUNICIPAL DON CARLOS BARRETO SARUBBI,1,NORMAL,28024668
205,PARTIDO HAGAMOS,11,11-CENTRAL,1,1-CAPIATA,0,0-CAPIATA,1,1-PC PARTIDARIO PPH,1,NORMAL,83981748
205,PARTIDO HAGAMOS,11,11-CENTRAL,13,13-LAMBARE,0,0-LAMBARE,1,1-COLEGIO CHACO PARAGUAYO,1,NORMAL,60111368
205,PARTIDO HAGAMOS,11,11-CENTRAL,17,17-LUQUE,0,0-LUQUE,1,1-CLUB DEPORTIVO BALDERRAMA,1,NORMAL,32066610
205,PARTIDO HAGAMOS,15,15-PRESIDENTE HAYES,0,0-VILLA HAYES,0,0-VILLA HAYES,1,1-ESC. DR. RAUL PEÑA,1,NORMAL,69387028
205,PARTIDO HAGAMOS,15,15-PRESIDENTE HAYES,1,1-BENJAMIN ACEVAL,0,0-BENJAMIN ACEVAL,1,1-REGISTRO ELECTORAL DE BENJAMIN ACEVAL,1,NORMAL,72919417
206,PARTIDO KATUETE,4,4-GUAIRA,0,0-VILLARRICA,0,0-VILLARRICA,1,1-CENTRO REGIONAL DE EDUCACION CICLO 2,1,NORMAL,85745310
206,PARTIDO KATUETE,11,11-CENTRAL,35,35-YPANE,0,0-YPANE,1,1-REGISTRO ELECTORAL DE YPANE,1,NORMAL,67978130
207,PARTIDO UNACE,0,0-CAPITAL,0,0-ASUNCION,0,0-ASUNCION,1,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,NORMAL,40040111
207,PARTIDO UNACE,1,1-CONCEPCION,11,11-ARROYITO,0,0-ARROYITO,1,1-ESC.BAS. N° 4341 SAN ANDRES ,1,NORMAL,15047525
207,PARTIDO UNACE,2,2-SAN PEDRO,9,9-GRAL. ELIZARDO AQUINO,0,0-GRAL. ELIZARDO AQUINO,1,1-TINGLADO MUNICIPAL,1,NORMAL,33867142
207,PARTIDO UNACE,3,3-CORDILLERA,35,35-TOBATI,0,0-TOBATI,1,1-TINGLADO MUNICIPAL,1,NORMAL,46851933
207,PARTIDO UNACE,4,4-GUAIRA,30,30-TEBICUARY,0,0-TEBICUARY,1,1-PC- UNACE,1,NORMAL,83889903
207,PARTIDO UNACE,5,5-CAAGUAZU,3,3-CAAGUAZU,0,0-CAAGUAZU,1,1-INSTITUTO DE FORMACION DOCENTE,1,NORMAL,99291759
207,PARTIDO UNACE,6,6-CAAZAPA,17,17-YUTY,0,0-YUTY,1,1-REGISTRO ELECTORAL DE YUTY,1,NORMAL,75766926
207,PARTIDO UNACE,7,7-ITAPUA,0,0-ENCARNACION ,0,0-ENCARNACION ,1,1-ESCUELA BASICA N° 65 REPUBLICA DE ARGENTINA ,1,NORMAL,21029152
207,PARTIDO UNACE,8,8-MISIONES,3,3-SAN IGNACIO,0,0-SAN IGNACIO,1,1-ESC. BAS N°392 SANTO ANGEL  ,1,NORMAL,60717743
207,PARTIDO UNACE,9,9-PARAGUARI,5,5-CARAPEGUA,0,0-CARAPEGUA,1,1-ESC MODELO GRAL DIAZ,1,NORMAL,71051460
207,PARTIDO UNACE,10,10-ALTO PARANA,25,25-PRESIDENTE FRANCO,0,0-PRESIDENTE FRANCO,1,1-COL.NACIONAL PARAGUAY BRASIL,1,NORMAL,48716292
207,PARTIDO UNACE,11,11-CENTRAL,27,27-SAN LORENZO,0,0-SAN LORENZO,1,1-PC- UNACE,1,NORMAL,81043703
207,PARTIDO UNACE,12,12-ÑEEMBUCU ,0,0-PILAR ,0,0-PILAR ,1,1-ESCUELA JUAN PABLO II,1,NORMAL,35937255
